Member,2019-05-20 21:00:00,2019-05-20 21:15:00,2019-05-20 21:30:00,2019-05-20 21:45:00,2019-05-20 22:00:00,2019-05-20 22:15:00,2019-05-20 22:30:00
1,17.77777777777778,19.444444444444446,17.222222222222225,15.833333333333334,12.222222222222221,10.833333333333334,13.888888888888891
2,9.444444444444445,13.055555555555557,14.722222222222221,14.444444444444445,12.222222222222221,11.944444444444443,13.055555555555557
3,10.0,10.0,10.555555555555555,12.777777777777779,13.333333333333334,13.888888888888888,16.11111111111111
4,13.333333333333334,13.055555555555557,11.666666666666666,10.833333333333334,12.777777777777779,13.333333333333334,14.444444444444445
5,9.722222222222223,9.166666666666666,11.388888888888888,12.777777777777779,12.222222222222221,13.055555555555557,13.333333333333334
6,11.388888888888888,12.777777777777779,12.222222222222221,13.611111111111112,15.555555555555557,13.888888888888891,14.444444444444445
7,13.333333333333334,12.777777777777779,10.833333333333334,11.944444444444443,14.166666666666666,13.333333333333334,11.388888888888888
8,10.0,10.277777777777777,11.388888888888888,11.666666666666666,11.944444444444445,12.777777777777779,11.388888888888888
9,9.166666666666666,10.277777777777779,12.777777777777779,13.055555555555557,12.222222222222221,13.333333333333334,14.166666666666666
10,13.888888888888891,18.055555555555557,13.333333333333334,13.611111111111112,15.833333333333334,15.555555555555557,17.5
11,11.388888888888888,13.055555555555557,13.055555555555557,11.666666666666666,10.833333333333334,13.055555555555557,14.166666666666666
12,5.833333333333333,7.222222222222221,11.111111111111109,13.333333333333334,14.166666666666666,11.666666666666666,9.444444444444445
13,20.0,14.166666666666666,11.944444444444443,11.944444444444443,13.888888888888888,17.22222222222222,15.833333333333334
14,10.277777777777779,13.333333333333334,15.277777777777777,17.5,16.666666666666668,15.0,12.500000000000002
15,11.388888888888888,13.055555555555557,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
16,9.166666666666666,10.555555555555555,14.166666666666666,15.0,15.0,15.0,15.555555555555557
17,13.611111111111112,16.11111111111111,15.0,13.055555555555557,10.833333333333334,12.222222222222221,16.944444444444446
18,10.0,9.722222222222223,8.611111111111112,8.333333333333334,8.611111111111112,10.277777777777779,12.777777777777779
19,15.555555555555557,16.111111111111114,13.888888888888891,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
20,11.666666666666666,14.166666666666666,13.888888888888891,15.0,16.25,15.833333333333336,15.694444444444445
21,9.444444444444445,12.222222222222221,17.22222222222222,17.5,13.888888888888888,12.222222222222221,13.055555555555557
22,11.666666666666666,15.833333333333336,15.277777777777779,14.444444444444445,11.944444444444443,11.111111111111112,15.833333333333334
23,11.666666666666666,14.166666666666666,13.611111111111112,13.611111111111112,14.722222222222223,14.444444444444443,10.555555555555555
24,12.5,14.444444444444445,13.888888888888891,14.722222222222223,15.0,15.277777777777779,16.38888888888889
25,17.22222222222222,15.0,13.055555555555555,16.111111111111114,17.5,15.555555555555557,15.555555555555557
26,23.88888888888889,13.888888888888888,14.444444444444445,15.0,15.0,14.722222222222221,13.611111111111112
27,14.444444444444445,15.555555555555555,11.944444444444445,14.166666666666666,15.0,15.0,13.333333333333334
28,12.777777777777779,15.555555555555555,13.888888888888891,13.333333333333334,13.888888888888888,15.555555555555557,12.777777777777779
29,30.277777777777775,18.055555555555557,13.611111111111112,12.222222222222221,13.055555555555557,13.611111111111112,15.277777777777779
30,9.722222222222223,13.888888888888891,14.444444444444445,17.222222222222218,15.833333333333334,11.666666666666666,12.777777777777777
31,2.5,16.666666666666668,15.833333333333334,15.833333333333334,18.61111111111111,16.666666666666668,13.888888888888891
32,2.222222222222222,0.8333333333333334,11.388888888888891,16.11111111111111,16.666666666666668,16.944444444444443,18.61111111111111
33,15.555555555555557,15.833333333333336,12.5,11.944444444444445,13.611111111111114,16.38888888888889,17.5
34,13.611111111111112,14.444444444444445,13.888888888888891,14.722222222222221,14.722222222222223,14.166666666666666,16.11111111111111
35,8.611111111111112,7.222222222222222,8.888888888888888,12.5,13.055555555555557,12.222222222222221,13.055555555555557
36,3.3333333333333326,10.833333333333334,13.611111111111112,15.555555555555557,13.611111111111112,12.777777777777777,16.944444444444446
MRMS,15.555555555555557,11.111111111111112,10.555555555555555,12.5,11.666666666666666,10.0,9.166666666666666
