Member,2019-05-28 23:00:00,2019-05-28 23:15:00,2019-05-28 23:30:00,2019-05-28 23:45:00,2019-05-29 00:00:00,2019-05-29 00:15:00,2019-05-29 00:30:00,2019-05-29 00:45:00,2019-05-29 01:00:00
1,7.222222222222222,10.833333333333334,10.277777777777779,11.388888888888888,18.055555555555554,23.055555555555557,20.277777777777775,17.222222222222225,16.666666666666668
2,9.166666666666666,12.222222222222221,16.666666666666668,19.722222222222225,16.38888888888889,16.944444444444446,18.888888888888893,16.66666666666667,12.77777777777778
3,11.944444444444445,15.833333333333334,17.222222222222225,19.722222222222225,20.277777777777782,16.11111111111111,15.277777777777779,16.38888888888889,16.666666666666668
4,13.333333333333334,13.888888888888891,16.11111111111111,16.38888888888889,15.0,13.888888888888891,14.722222222222223,14.722222222222223,14.722222222222223
5,9.444444444444445,11.388888888888888,13.333333333333334,15.555555555555555,18.88888888888889,18.055555555555554,15.555555555555555,15.0,14.444444444444445
6,17.222222222222225,19.444444444444446,18.88888888888889,14.444444444444445,13.611111111111112,14.722222222222221,15.0,15.0,15.555555555555557
7,3.3333333333333335,3.8888888888888893,6.666666666666667,9.722222222222221,11.666666666666666,13.055555555555557,13.055555555555555,11.944444444444443,12.222222222222221
8,10.0,10.555555555555555,12.777777777777779,13.055555555555555,12.222222222222221,12.777777777777779,12.222222222222221,13.333333333333334,14.166666666666666
9,11.666666666666666,14.444444444444445,15.0,15.0,14.722222222222221,13.611111111111112,13.333333333333334,13.333333333333334,13.333333333333334
10,25.833333333333332,14.166666666666666,15.0,17.5,16.666666666666668,15.833333333333334,17.5,16.666666666666668,15.833333333333334
11,6.9444444444444455,8.055555555555555,8.888888888888888,12.222222222222221,16.944444444444443,16.944444444444446,16.944444444444446,18.055555555555554,18.88888888888889
12,16.11111111111111,17.5,16.805555555555557,15.833333333333334,15.416666666666666,16.11111111111111,15.277777777777779,14.722222222222221,12.5
13,16.38888888888889,15.0,14.166666666666666,15.833333333333334,15.555555555555557,16.11111111111111,15.0,13.888888888888891,15.277777777777779
14,9.444444444444445,12.5,12.5,14.722222222222221,15.833333333333334,14.444444444444445,16.38888888888889,17.5,15.000000000000002
15,8.333333333333334,11.388888888888891,13.333333333333334,14.166666666666666,13.055555555555557,16.38888888888889,18.88888888888889,16.666666666666668,13.888888888888891
16,15.555555555555557,15.277777777777779,16.38888888888889,16.11111111111111,13.611111111111112,12.222222222222221,13.333333333333334,14.166666666666666,10.555555555555555
17,7.222222222222222,9.722222222222223,11.666666666666666,13.055555555555557,12.777777777777779,10.833333333333334,11.666666666666666,13.055555555555557,13.333333333333334
18,16.11111111111111,13.888888888888891,13.611111111111112,14.444444444444445,13.333333333333334,12.222222222222221,13.055555555555557,13.055555555555557,12.5
19,16.11111111111111,18.055555555555554,19.722222222222225,20.0,19.722222222222218,18.333333333333332,17.222222222222225,18.055555555555554,18.88888888888889
20,13.333333333333334,13.611111111111112,14.722222222222223,15.555555555555555,17.777777777777775,17.777777777777775,15.555555555555555,15.0,15.555555555555557
21,15.0,16.38888888888889,17.77777777777778,16.944444444444446,16.111111111111114,14.444444444444445,15.833333333333336,15.000000000000002,14.722222222222223
22,14.583333333333334,17.5,17.63888888888889,15.277777777777777,13.611111111111112,13.333333333333334,14.166666666666666,16.944444444444443,12.777777777777777
23,14.444444444444445,18.61111111111111,18.055555555555554,15.833333333333334,15.555555555555557,12.5,11.944444444444445,12.222222222222223,7.5
24,9.444444444444445,13.611111111111112,17.499999999999996,17.777777777777775,15.555555555555552,14.722222222222221,13.611111111111109,13.611111111111109,15.277777777777777
25,14.722222222222221,21.944444444444443,22.222222222222225,17.500000000000004,15.833333333333334,17.222222222222218,15.0,12.777777777777777,15.0
26,8.88888888888889,8.611111111111112,10.277777777777779,13.055555555555557,14.722222222222223,14.722222222222223,13.611111111111112,13.611111111111112,14.166666666666666
27,14.722222222222223,16.666666666666668,18.055555555555554,17.777777777777775,15.0,12.5,13.055555555555557,13.055555555555557,12.5
28,11.666666666666666,13.333333333333334,16.11111111111111,16.944444444444443,17.777777777777775,16.666666666666668,15.277777777777779,15.277777777777777,16.38888888888889
29,17.5,15.555555555555557,16.38888888888889,16.666666666666668,16.38888888888889,15.0,13.888888888888891,14.722222222222223,14.444444444444445
30,16.666666666666668,17.777777777777775,15.833333333333334,15.833333333333336,13.611111111111114,13.611111111111114,19.722222222222225,18.611111111111114,11.66666666666667
31,10.0,10.277777777777777,13.055555555555555,20.27777777777778,21.66666666666666,16.388888888888886,15.0,15.0,15.555555555555555
32,11.388888888888888,12.777777777777779,11.944444444444443,12.222222222222221,15.0,17.5,16.666666666666668,15.555555555555557,16.38888888888889
33,13.888888888888891,11.111111111111112,13.055555555555557,14.722222222222223,14.722222222222223,13.888888888888891,15.0,15.555555555555557,11.944444444444445
34,10.0,10.277777777777777,11.666666666666666,12.777777777777779,12.5,14.166666666666666,12.5,8.055555555555555,8.61111111111111
35,13.055555555555557,11.666666666666666,11.111111111111112,14.722222222222221,17.222222222222218,15.277777777777777,13.888888888888891,14.722222222222221,14.444444444444445
36,13.611111111111112,15.0,16.11111111111111,14.722222222222223,12.777777777777777,14.444444444444445,14.722222222222223,13.888888888888891,14.166666666666666
MRMS,16.38888888888889,15.0,13.611111111111112,13.333333333333334,13.333333333333334,13.888888888888891,15.833333333333334,14.722222222222221,12.777777777777777
