Member,2019-05-17 22:30:00,2019-05-17 22:45:00,2019-05-17 23:00:00,2019-05-17 23:15:00,2019-05-17 23:30:00,2019-05-17 23:45:00,2019-05-18 00:00:00,2019-05-18 00:15:00,2019-05-18 00:30:00
1,16.944444444444446,17.777777777777775,15.833333333333336,11.388888888888888,11.944444444444443,14.444444444444443,15.555555555555555,17.5,15.833333333333336
2,15.277777777777779,17.777777777777775,18.61111111111111,14.444444444444443,13.055555555555555,11.666666666666664,10.277777777777777,10.0,10.0
3,11.111111111111109,11.944444444444445,13.333333333333334,14.444444444444445,13.611111111111112,13.611111111111112,14.166666666666666,11.666666666666666,9.444444444444445
4,6.388888888888889,12.222222222222221,12.222222222222221,12.777777777777779,12.222222222222221,13.055555555555557,13.333333333333334,13.333333333333334,12.222222222222221
5,16.11111111111111,12.5,13.055555555555557,13.611111111111112,14.444444444444445,13.333333333333334,11.666666666666666,10.555555555555555,13.055555555555555
6,15.277777777777779,14.722222222222223,12.5,13.333333333333336,14.722222222222223,14.861111111111114,14.16666666666667,14.027777777777779,17.222222222222225
7,15.277777777777779,13.055555555555557,11.111111111111112,13.611111111111112,16.666666666666668,13.611111111111112,10.277777777777779,8.333333333333334,6.9444444444444455
8,13.333333333333334,13.333333333333334,13.055555555555557,12.5,15.0,17.222222222222218,15.277777777777777,13.333333333333334,11.388888888888888
9,1.1111111111111114,13.888888888888891,13.333333333333334,10.277777777777779,8.611111111111112,8.333333333333334,9.166666666666666,12.222222222222223,12.5
10,10.0,10.0,9.722222222222223,8.888888888888891,10.277777777777779,12.777777777777779,13.055555555555557,11.944444444444443,12.222222222222223
11,13.055555555555557,12.777777777777779,15.833333333333334,15.833333333333334,12.5,11.666666666666666,11.388888888888888,10.277777777777779,11.111111111111109
12,18.333333333333332,14.722222222222221,18.055555555555554,20.833333333333332,19.722222222222225,17.222222222222225,16.666666666666668,16.666666666666668,16.666666666666668
13,19.72222222222222,22.222222222222225,20.833333333333336,16.666666666666668,18.055555555555554,20.277777777777775,22.777777777777775,21.666666666666668,12.777777777777779
14,13.888888888888891,11.111111111111112,12.777777777777779,12.222222222222223,7.777777777777779,7.5,11.388888888888888,14.444444444444445,14.444444444444445
15,13.055555555555557,11.944444444444443,11.666666666666666,11.388888888888888,10.555555555555555,11.388888888888888,11.666666666666666,11.666666666666666,11.111111111111109
16,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.277777777777777,11.944444444444443
17,14.166666666666666,13.75,14.166666666666666,14.861111111111112,15.555555555555555,18.888888888888886,23.333333333333332,21.944444444444446,20.27777777777778
18,8.055555555555557,10.0,11.666666666666666,13.055555555555557,14.166666666666666,16.944444444444446,15.555555555555557,15.0,14.444444444444445
19,17.222222222222225,19.444444444444446,20.0,18.61111111111111,13.472222222222221,14.16666666666667,16.52777777777778,17.5,15.0
20,15.0,22.777777777777782,20.833333333333332,14.722222222222223,13.611111111111112,16.38888888888889,22.777777777777782,21.38888888888889,19.72222222222222
21,12.222222222222223,13.055555555555555,11.388888888888888,8.88888888888889,8.333333333333334,9.166666666666666,12.222222222222221,12.222222222222221,13.055555555555557
22,12.777777777777779,10.277777777777779,9.166666666666666,11.111111111111109,11.666666666666666,12.222222222222221,14.444444444444443,14.444444444444443,11.666666666666666
23,14.166666666666666,13.333333333333334,12.222222222222221,12.777777777777779,11.666666666666666,10.277777777777779,10.0,10.277777777777777,11.944444444444443
24,14.166666666666666,12.5,14.166666666666666,13.333333333333334,11.944444444444443,11.666666666666666,11.666666666666666,11.666666666666666,12.222222222222221
25,17.5,16.38888888888889,12.777777777777779,8.055555555555555,10.277777777777779,19.166666666666668,18.61111111111111,12.222222222222223,15.0
26,17.777777777777775,12.222222222222221,9.444444444444445,11.388888888888888,12.5,10.277777777777779,8.888888888888891,11.111111111111109,19.722222222222225
27,16.944444444444446,17.777777777777775,16.944444444444446,16.38888888888889,14.444444444444445,10.555555555555555,8.611111111111112,10.277777777777779,21.38888888888889
28,12.5,13.055555555555557,13.055555555555555,12.5,14.444444444444443,14.444444444444443,12.222222222222221,11.666666666666666,11.111111111111112
29,11.666666666666666,14.444444444444445,14.444444444444443,12.5,13.611111111111112,15.833333333333334,14.722222222222221,12.222222222222221,12.222222222222221
30,12.222222222222221,11.944444444444443,13.055555555555557,13.333333333333334,12.777777777777779,10.555555555555555,10.277777777777779,11.111111111111109,10.277777777777777
31,14.722222222222223,14.861111111111112,15.833333333333334,16.805555555555557,17.777777777777775,16.944444444444446,16.666666666666668,16.38888888888889,15.833333333333334
32,13.888888888888888,11.111111111111109,6.111111111111111,5.833333333333333,10.0,14.166666666666666,15.0,15.0,14.444444444444445
33,15.0,12.222222222222221,12.222222222222221,15.0,17.5,16.111111111111114,12.5,11.388888888888888,9.166666666666666
34,11.944444444444443,10.277777777777777,10.0,11.388888888888888,17.22222222222222,18.333333333333332,12.777777777777777,10.277777777777779,10.0
35,13.888888888888891,16.11111111111111,16.38888888888889,15.0,13.333333333333334,12.222222222222221,13.055555555555557,13.333333333333334,13.333333333333334
36,11.944444444444443,10.277777777777777,10.0,10.277777777777777,11.666666666666666,13.055555555555557,12.777777777777779,10.277777777777779,9.166666666666666
MRMS,11.944444444444443,11.111111111111109,13.888888888888891,12.777777777777779,9.305555555555555,9.166666666666666,9.722222222222223,9.166666666666666,9.027777777777779
