Member,2019-05-26 20:30:00,2019-05-26 20:45:00,2019-05-26 21:00:00,2019-05-26 21:15:00,2019-05-26 21:30:00
1,10.0,10.0,10.277777777777777,11.944444444444443,15.0
2,5.0,3.611111111111111,2.7777777777777786,6.111111111111112,8.611111111111112
3,8.88888888888889,8.611111111111112,9.722222222222221,10.277777777777779,11.944444444444445
4,4.722222222222222,6.111111111111112,5.277777777777778,5.0,4.444444444444445
5,3.3333333333333335,3.611111111111111,5.277777777777779,7.5,5.833333333333333
6,5.555555555555556,6.666666666666667,7.222222222222224,10.277777777777779,15.833333333333334
7,9.166666666666666,9.722222222222221,9.722222222222223,9.166666666666666,11.666666666666666
8,9.722222222222223,8.611111111111112,8.611111111111112,10.0,11.944444444444445
9,6.388888888888889,5.277777777777778,5.555555555555556,8.055555555555555,9.722222222222223
10,6.388888888888889,5.555555555555556,7.5,12.222222222222223,12.222222222222221
11,6.388888888888889,5.277777777777778,5.555555555555556,8.055555555555555,9.722222222222223
12,7.222222222222222,3.3333333333333335,6.9444444444444455,6.666666666666667,5.833333333333333
13,6.666666666666667,6.388888888888889,5.0,3.611111111111111,3.3333333333333335
14,2.5,4.166666666666667,9.722222222222223,14.166666666666666,14.444444444444445
15,11.388888888888888,7.222222222222222,5.555555555555556,6.388888888888889,6.666666666666667
16,17.22222222222222,14.722222222222221,10.555555555555555,8.611111111111112,8.888888888888888
17,6.388888888888889,5.277777777777778,5.555555555555556,8.055555555555555,9.722222222222223
18,6.666666666666667,7.5,11.388888888888888,14.166666666666666,13.611111111111112
19,10.0,10.0,10.0,10.555555555555555,13.888888888888891
20,8.88888888888889,8.611111111111112,9.444444444444445,8.88888888888889,10.833333333333334
21,5.0,7.777777777777779,8.333333333333334,8.333333333333334,7.777777777777779
22,6.388888888888889,5.277777777777778,5.555555555555556,8.055555555555555,9.722222222222223
23,6.388888888888889,5.277777777777778,5.555555555555556,8.055555555555555,9.722222222222223
24,8.333333333333334,5.555555555555556,5.5555555555555545,8.88888888888889,15.555555555555557
25,5.555555555555556,6.388888888888889,5.833333333333333,8.055555555555557,9.722222222222223
26,11.111111111111112,9.722222222222221,8.333333333333334,7.222222222222222,7.5
27,3.611111111111111,5.277777777777779,7.777777777777779,8.333333333333334,8.88888888888889
28,17.222222222222225,6.9444444444444455,6.388888888888889,6.666666666666667,6.666666666666667
29,12.222222222222221,6.111111111111111,5.555555555555556,8.055555555555555,9.722222222222223
30,14.722222222222223,10.555555555555555,8.888888888888891,9.722222222222221,10.0
31,9.444444444444445,15.277777777777779,17.22222222222222,15.0,16.944444444444443
32,6.111111111111112,9.16666666666667,8.333333333333334,6.9444444444444455,6.666666666666667
33,13.611111111111112,14.722222222222223,15.0,15.0,14.444444444444445
34,5.277777777777778,3.8888888888888893,6.111111111111112,12.5,15.0
35,9.722222222222223,8.611111111111112,8.611111111111112,9.722222222222221,10.0
36,7.5,6.9444444444444455,7.777777777777779,12.222222222222223,12.222222222222223
MRMS,4.166666666666667,7.500000000000001,7.777777777777779,6.111111111111112,8.333333333333334
