,2215 UTC,2230 UTC,2245 UTC,2300 UTC,2315 UTC,2330 UTC,2345 UTC,0000 UTC,0015 UTC,0030 UTC,0045 UTC
1,"(56,45)","(61,48)","(66,52)","(72,56)","(76,61)","(78,67)","(83,71)","(87,74)","(92,79)","(98,82)","(102,85)"
2,"(56,39)","(61,44)","(64,48)","(72,54)","(76,59)","(80,65)","(84,69)","(87,73)","(90,77)","(93,81)","(96,85)"
3,"(54,37)","(57,43)","(61,47)","(64,50)","(69,55)","(73,59)","(77,63)","(81,67)","(86,71)","(88,74)","(91,76)"
4,"(56,46)","(56,44)","(61,48)","(64,52)","(68,56)","(72,60)","(75,63)","(80,67)","(83,70)","(88,75)","(91,78)"
5,"(54,38)","(60,43)","(63,46)","(67,49)","(71,53)","(75,56)","(80,60)","(83,62)","(87,66)","(89,67)","(94,69)"
6,"(52,41)","(56,45)","(62,49)","(65,53)","(69,56)","(73,60)","(78,62)","(82,66)","(86,71)","(90,73)","(96,76)"
7,"(55,47)","(60,51)","(64,55)","(68,60)","(70,64)","(76,70)","(81,74)","(84,78)","(87,83)","(89,86)","(91,89)"
8,"(52,43)","(56,46)","(60,50)","(64,54)","(68,58)","(71,61)","(77,66)","(82,68)","(86,73)","(90,78)","(93,81)"
9,"(55,40)","(52,42)","(57,45)","(62,49)","(65,51)","(68,54)","(70,55)","(70,54)","(75,57)","(78,60)","(82,63)"
10,"(54,40)","(57,44)","(60,47)","(63,50)","(66,52)","(68,54)","(72,58)","(76,61)","(80,66)","(83,70)","(87,74)"
11,"(53,41)","(57,44)","(61,49)","(64,53)","(71,57)","(74,60)","(78,66)","(81,69)","(85,72)","(87,73)","(91,75)"
12,"(53,36)","(60,42)","(63,44)","(68,48)","(74,51)","(81,56)","(86,59)","(91,62)","(96,65)","(101,68)","(106,69)"
13,"(54,38)","(60,44)","(65,51)","(74,57)","(78,60)","(83,66)","(89,70)","(95,73)","(103,77)","(109,81)","(111,87)"
14,"(56,45)","(61,47)","(64,50)","(67,53)","(72,58)","(75,62)","(76,64)","(79,68)","(83,72)","(88,77)","(92,81)"
15,"(53,37)","(57,43)","(61,46)","(64,49)","(68,53)","(71,55)","(74,57)","(78,60)","(81,63)","(85,64)","(88,68)"
16,"(51,44)","(54,47)","(57,50)","(60,54)","(63,57)","(66,60)","(69,63)","(72,66)","(75,69)","(78,72)","(82,76)"
17,"(55,42)","(59,43)","(64,49)","(67,52)","(70,55)","(76,59)","(79,61)","(87,65)","(94,69)","(100,73)","(106,77)"
18,"(53,41)","(55,44)","(58,48)","(61,51)","(65,54)","(69,57)","(73,59)","(80,65)","(82,67)","(87,70)","(91,74)"
19,"(53,41)","(58,44)","(63,48)","(70,52)","(75,55)","(82,61)","(82,65)","(86,68)","(92,72)","(97,76)","(101,79)"
20,"(54,37)","(57,46)","(63,50)","(72,55)","(76,59)","(80,64)","(84,69)","(89,74)","(99,78)","(102,83)","(109,87)"
21,"(55,40)","(58,43)","(63,48)","(66,51)","(70,55)","(71,53)","(71,54)","(76,57)","(79,59)","(83,62)","(87,65)"
22,"(52,42)","(56,44)","(60,48)","(62,51)","(65,54)","(69,58)","(72,61)","(76,64)","(81,68)","(85,72)","(88,75)"
23,"(51,41)","(55,44)","(60,48)","(63,51)","(67,54)","(71,57)","(74,60)","(77,62)","(80,64)","(83,64)","(87,66)"
24,"(53,41)","(58,45)","(61,48)","(65,52)","(70,58)","(73,61)","(77,64)","(80,67)","(84,71)","(87,73)","(91,77)"
25,"(54,48)","(59,51)","(65,55)","(69,59)","(73,63)","(73,67)","(78,72)","(86,76)","(90,78)","(92,85)","(98,90)"
26,"(54,39)","(60,44)","(65,48)","(67,51)","(70,53)","(74,55)","(78,57)","(80,58)","(83,60)","(86,63)","(94,68)"
27,"(44,45)","(49,46)","(54,44)","(60,47)","(64,48)","(70,51)","(73,52)","(76,54)","(78,54)","(81,57)","(90,63)"
28,"(54,40)","(58,44)","(61,47)","(66,52)","(69,55)","(73,58)","(78,61)","(82,64)","(85,67)","(89,70)","(92,72)"
29,"(54,41)","(57,44)","(61,48)","(66,53)","(70,57)","(73,60)","(78,63)","(83,67)","(87,69)","(90,72)","(94,75)"
30,"(54,40)","(58,44)","(61,48)","(65,52)","(69,56)","(73,60)","(77,63)","(79,65)","(83,69)","(86,71)","(89,73)"
31,"(57,45)","(62,48)","(65,50)","(71,55)","(76,61)","(81,63)","(87,68)","(91,70)","(97,75)","(101,83)","(106,87)"
32,"(54,56)","(58,49)","(63,52)","(65,55)","(66,57)","(68,59)","(72,62)","(77,66)","(81,69)","(86,73)","(90,76)"
33,"(54,40)","(59,45)","(63,49)","(66,52)","(70,56)","(75,61)","(81,65)","(85,68)","(88,72)","(92,76)","(94,79)"
34,"(54,39)","(58,45)","(61,50)","(64,53)","(67,57)","(70,60)","(78,65)","(82,69)","(85,72)","(88,75)","(91,79)"
35,"(52,43)","(56,44)","(60,47)","(66,51)","(70,55)","(75,59)","(78,62)","(82,64)","(86,67)","(90,67)","(94,72)"
36,"(54,37)","(58,44)","(61,48)","(64,52)","(67,56)","(70,59)","(74,62)","(78,65)","(82,68)","(84,72)","(87,76)"
MRMS,"(52,36)","(56,39)","(59,42)","(62,47)","(68,50)","(70,53)","(73,56)","(78,58)","(79,61)","(81,61)","(84,65)"
